CustomerID,PurchaseFrequency,TotalSpending,AvgOrderSpending
,1428,1742524.1800000002,13.226692727507345
7ca596803bff0a1d8257d7050dac27145fdf17fe8eddcb5c9ceb81c7b5b7c4c8,73,280206.0200000001,134.97399807321776
7d9985200ab69361835020d660d933edd8fbb1237ef0190d35d6aaead4aa45e7,60,259657.30000000005,602.4531322505802
bffebc6bb0770024e33f4691932080a2dad6a2f37527d10dd158c678e3600c7b,46,194390.78999999998,578.5440178571428
bc7df53f85eca3c332c5883bee6c8cdbfc6fab2698d349194afaf67f72b7e699,2,168472.5,56157.5
1b3403efa26bfa5b03b6506e480e47d417d9aa9803bcbe8b2c2a2411e2703250,201,143711.1700000001,25.345885361552046
fc482dba4dce060ee8110971066a1573eaf868c64f86abbf09f016b2c5ce0c58,21,124914.53000000003,174.95032212885158
96045bcde49cc135bcbb7c425c5e13f1bb9e1295596fce562833bfb2c4b42baf,55,117193.58000000005,84.130351758794
66ad5b94049a0648d3a41bc2037a3e210c385919ed5a04bf958582136444dea8,31,91062.37999999998,94.56114226375907
c8d736864a1d4d71e4860b89957b841408eb106e7d251ddfa2a739d58a8cf4ac,63,80613.23999999999,335.88849999999996
380d49d50bf43fb9cdaac756d1f411f715801f5c4f5fd08f354684621dece317,1,77183.6,77183.6
ec31df8c6a2b38d95eaf322ef45428ab49016efd39ea8eba8f046d943ae49548,28,66653.56000000001,240.62657039711195
ec18f93dc434def92732fd127e4a2b1e666964e50690ca6c11b9a366fd92b0cf,50,65039.61999999999,114.5063732394366
13e0435f979a0ff744bdf0621f74464b928208fbc3a42b1924a695e21e60e132,17,64990.31000000001,12.793368110236223
40d0615e206c6c756849d88d5fe80e554cf397c3998b79d86efe5afe35bd0220,91,60596.729999999996,25.70926177344081
4beca9e3b90ed4f250aaf9e8e76207d5b511d1911b24c6b588af04b7d0d9dbe6,97,58682.27999999998,32.38536423841058
1dbecf9720e2b88c0aa828facdc0b0eca3cb49544832a053f3087c2ca0b7cfa6,45,57396.87999999999,831.83884057971
320dba65569b9c89384c2c7fba367189b1f342fc69c9b8ba3d56d34bed2b7380,26,56252.72,432.7132307692308
690587c6282037faab568d50e7b0ee188fe68ae03edba0b676d4bcead86dcb05,48,54534.13999999999,135.32044665012404
6c56947d0ee848b852b7738bd6960c6a86270c7e1eac3a6ffb4fb4cb716d516c,44,51527.29999999999,31.476664630421496
92862405bb282dc02066db4b440ac2ac72edbad5485e9f2ec420e3ac53f6522f,13,50491.810000000005,85.72463497453312
42ac5ec08644e659c49172a4783cafe1b1493e9cec58da7e82dfb968f310881c,3,44534.3,4453.43
27f49ba6965fbae9f2fb627fa20829e5f385753cd188ec34bd1a9264ca875783,15,41260.76,522.2881012658228
0d95fac948195abd7be019f168022baca1047fda1a75fdaeaefc7d175b083d6b,3,39916.5,13305.5
7f9d8a6205c36489ea994c6952bd21c28d4526492905fc07aaa759da0a4f28e6,124,39534.91999999999,5.2875377825331
